date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:05	419720/419720	---MCZ	200	added ('OK')	font/ttf	etag:W/%2266788-60d0a6172a000%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/webfonts/fa-solid-900.ttf	(from https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/css/all.min.css)
22:18:05	10832/10832	---MCZ	200	added ('OK')	font/ttf	etag:W/%222a50-60d0a6172a000%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/webfonts/fa-v4compatibility.ttf	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/webfonts/fa-v4compatibility.ttf	(from https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/css/all.min.css)
22:18:06	35770/35770	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%228bba-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/fonts/feathericon.eot	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/fonts/feathericon.eot	(from https://doccure.dreamstechnologies.com/html/template/admin/assets/css/feathericon.min.css)
22:18:06	35770/35770	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%228bba-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/fonts/feathericon.eot?	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/fonts/feathericond41d.eot	(from https://doccure.dreamstechnologies.com/html/template/admin/assets/css/feathericon.min.css)
22:18:06	207972/207972	---MCZ	200	added ('OK')	font/ttf	etag:W/%2232c64-60d0a6172a000%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/webfonts/fa-brands-400.ttf	(from https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/css/all.min.css)
22:18:06	17472/17472	---M--	200	added ('OK')	font/woff	etag:%224440-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/fonts/feathericon.woff	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/fonts/feathericon.woff	(from https://doccure.dreamstechnologies.com/html/template/admin/assets/css/feathericon.min.css)
22:18:07	35580/35580	---MCZ	200	added ('OK')	font/ttf	etag:W/%228afc-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/fonts/feathericon.ttf	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/fonts/feathericon.ttf	(from https://doccure.dreamstechnologies.com/html/template/admin/assets/css/feathericon.min.css)
22:18:07	90404/90404	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2216124-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/fonts/feathericon.svg	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/fonts/feathericon.svg	(from https://doccure.dreamstechnologies.com/html/template/admin/assets/css/feathericon.min.css)
22:18:08	44300/44300	---M--	200	added ('OK')	font/woff2	etag:%22ad0c-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/fonts/MaterialIcons-Regular.woff2	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/fonts/MaterialIcons-Regular.woff2	(from https://doccure.dreamstechnologies.com/html/template/admin/assets/css/custom.css)
22:18:08	57620/57620	---M--	200	added ('OK')	font/woff	etag:%22e114-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/fonts/MaterialIcons-Regular.woff	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/fonts/MaterialIcons-Regular.woff	(from https://doccure.dreamstechnologies.com/html/template/admin/assets/css/custom.css)
22:18:09	128180/128180	---MCZ	200	added ('OK')	font/ttf	etag:W/%221f4b4-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/fonts/MaterialIcons-Regular.ttf	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/fonts/MaterialIcons-Regular.ttf	(from https://doccure.dreamstechnologies.com/html/template/admin/assets/css/custom.css)
